Time,HOT WATER LOOP:SPACE1-1 ZONE COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:SPACE2-1 ZONE COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:SPACE3-1 ZONE COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:SPACE4-1 ZONE COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:SPACE5-1 ZONE COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:OA HEATING COIL 1:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:MAIN HEATING COIL 1:Design Water Volume Flow Rate [m3/s]
00:15:00,8.665776E-05,3.778387E-05,8.418836E-05,3.844106E-05,5.915187E-05,1.503122E-04,7.902189E-05
00:30:00,8.665776E-05,3.778387E-05,8.418836E-05,3.844106E-05,5.915187E-05,1.503122E-04,7.902189E-05
00:45:00,8.665776E-05,3.778387E-05,8.418836E-05,3.844106E-05,5.915187E-05,1.503122E-04,7.902189E-05
01:00:00,8.665776E-05,3.778387E-05,8.418836E-05,3.844106E-05,5.915187E-05,1.503122E-04,7.902189E-05
01:15:00,8.665776E-05,3.778387E-05,8.418836E-05,3.844106E-05,5.915187E-05,1.503122E-04,7.902189E-05
01:30:00,8.665776E-05,3.778387E-05,8.418836E-05,3.844106E-05,5.915187E-05,1.503122E-04,7.902189E-05
01:45:00,8.665776E-05,3.778387E-05,8.418836E-05,3.844106E-05,5.915187E-05,1.503122E-04,7.902189E-05
02:00:00,8.665776E-05,3.778387E-05,8.418836E-05,3.844106E-05,5.915187E-05,1.503122E-04,7.902189E-05
02:15:00,8.665776E-05,3.778387E-05,8.418836E-05,3.844106E-05,5.915187E-05,1.503122E-04,7.902189E-05
02:30:00,8.665776E-05,3.778387E-05,8.418836E-05,3.844106E-05,5.915187E-05,1.503122E-04,7.902189E-05
02:45:00,8.665776E-05,3.778387E-05,8.418836E-05,3.844106E-05,5.915187E-05,1.503122E-04,7.902189E-05
03:00:00,8.665776E-05,3.778387E-05,8.418836E-05,3.844106E-05,5.915187E-05,1.503122E-04,7.902189E-05
03:15:00,8.665776E-05,3.778387E-05,8.418836E-05,3.844106E-05,5.915187E-05,1.503122E-04,7.902189E-05
03:30:00,8.665776E-05,3.778387E-05,8.418836E-05,3.844106E-05,5.915187E-05,1.503122E-04,7.902189E-05
03:45:00,8.665776E-05,3.778387E-05,8.418836E-05,3.844106E-05,5.915187E-05,1.503122E-04,7.902189E-05
